task_id,actv_code_type_id,actv_code_id,proj_id
106071,1734,7490,4680
106071,1735,7491,4680
106071,1736,7489,4680
106071,1737,7505,4680
106222,1734,7490,4680
106222,1735,7491,4680
106222,1736,7489,4680
106222,1737,7505,4680
106223,1734,7490,4680
106223,1735,7491,4680
106223,1736,7489,4680
106223,1737,7505,4680
106224,1734,7490,4680
106224,1735,7491,4680
106224,1736,7498,4680
106224,1737,7505,4680
106225,1734,7490,4680
106225,1735,7491,4680
106225,1736,7498,4680
106225,1737,7505,4680
106226,1734,7490,4680
106226,1735,7491,4680
106226,1736,7498,4680
106226,1737,7505,4680
106227,1734,7490,4680
106227,1735,7491,4680
106227,1736,7498,4680
106227,1737,7505,4680
106228,1734,7490,4680
106228,1735,7491,4680
106228,1736,7502,4680
106228,1737,7505,4680
106229,1734,7490,4680
106229,1735,7491,4680
106229,1736,7502,4680
106229,1737,7505,4680
106230,1734,7490,4680
106230,1735,7491,4680
106230,1736,7514,4680
106230,1737,7505,4680
106231,1734,7490,4680
106231,1735,7492,4680
106231,1736,7498,4680
106231,1737,7506,4680
106232,1734,7490,4680
106232,1735,7492,4680
106232,1736,7498,4680
106232,1737,7506,4680
106233,1734,7490,4680
106233,1735,7492,4680
106233,1736,7498,4680
106233,1737,7507,4680
106234,1734,7490,4680
106234,1735,7492,4680
106234,1736,7498,4680
106234,1737,7507,4680
106235,1734,7490,4680
106235,1735,7492,4680
106235,1736,7498,4680
106235,1737,7508,4680
106236,1734,7490,4680
106236,1735,7492,4680
106236,1736,7498,4680
106236,1737,7508,4680
106237,1734,7490,4680
106237,1735,7492,4680
106237,1736,7498,4680
106237,1737,7509,4680
106238,1734,7490,4680
106238,1735,7492,4680
106238,1736,7498,4680
106238,1737,7509,4680
106239,1734,7490,4680
106239,1735,7492,4680
106239,1736,7498,4680
106239,1737,7510,4680
106240,1734,7490,4680
106240,1735,7492,4680
106240,1736,7498,4680
106240,1737,7510,4680
106241,1734,7490,4680
106241,1735,7492,4680
106241,1736,7498,4680
106241,1737,7511,4680
106242,1734,7490,4680
106242,1735,7492,4680
106242,1736,7498,4680
106242,1737,7511,4680
106243,1734,7490,4680
106243,1735,7493,4680
106243,1736,7514,4680
106243,1737,7506,4680
106244,1734,7490,4680
106244,1735,7493,4680
106244,1736,7499,4680
106244,1737,7506,4680
106245,1734,7490,4680
106245,1735,7493,4680
106245,1736,7499,4680
106245,1737,7506,4680
106246,1734,7490,4680
106246,1735,7493,4680
106246,1736,7499,4680
106246,1737,7506,4680
106247,1734,7490,4680
106247,1735,7493,4680
106247,1736,7499,4680
106247,1737,7506,4680
106248,1734,7490,4680
106248,1735,7493,4680
106248,1736,7514,4680
106248,1737,7507,4680
106249,1734,7490,4680
106249,1735,7493,4680
106249,1736,7499,4680
106249,1737,7507,4680
106250,1734,7490,4680
106250,1735,7493,4680
106250,1736,7499,4680
106250,1737,7507,4680
106251,1734,7490,4680
106251,1735,7493,4680
106251,1736,7499,4680
106251,1737,7507,4680
106252,1734,7490,4680
106252,1735,7493,4680
106252,1736,7499,4680
106252,1737,7507,4680
106253,1734,7490,4680
106253,1735,7493,4680
106253,1736,7499,4680
106253,1737,7507,4680
106254,1734,7490,4680
106254,1735,7493,4680
106254,1736,7514,4680
106254,1737,7508,4680
106255,1734,7490,4680
106255,1735,7493,4680
106255,1736,7499,4680
106255,1737,7508,4680
106256,1734,7490,4680
106256,1735,7493,4680
106256,1736,7499,4680
106256,1737,7508,4680
106257,1734,7490,4680
106257,1735,7493,4680
106257,1736,7499,4680
106257,1737,7508,4680
106258,1734,7490,4680
106258,1735,7493,4680
106258,1736,7499,4680
106258,1737,7508,4680
106259,1734,7490,4680
106259,1735,7493,4680
106259,1736,7499,4680
106259,1737,7508,4680
106260,1734,7490,4680
106260,1735,7493,4680
106260,1736,7514,4680
106260,1737,7509,4680
106261,1734,7490,4680
106261,1735,7493,4680
106261,1736,7499,4680
106261,1737,7509,4680
106262,1734,7490,4680
106262,1735,7493,4680
106262,1736,7499,4680
106262,1737,7509,4680
106263,1734,7490,4680
106263,1735,7493,4680
106263,1736,7499,4680
106263,1737,7509,4680
106264,1734,7490,4680
106264,1735,7493,4680
106264,1736,7499,4680
106264,1737,7509,4680
106265,1734,7490,4680
106265,1735,7493,4680
106265,1736,7499,4680
106265,1737,7509,4680
106266,1734,7490,4680
106266,1735,7493,4680
106266,1736,7514,4680
106266,1737,7510,4680
106267,1734,7490,4680
106267,1735,7493,4680
106267,1736,7499,4680
106267,1737,7510,4680
106268,1734,7490,4680
106268,1735,7493,4680
106268,1736,7499,4680
106268,1737,7510,4680
106269,1734,7490,4680
106269,1735,7493,4680
106269,1736,7499,4680
106269,1737,7510,4680
106270,1734,7490,4680
106270,1735,7493,4680
106270,1736,7499,4680
106270,1737,7510,4680
106271,1734,7490,4680
106271,1735,7493,4680
106271,1736,7499,4680
106271,1737,7510,4680
106272,1734,7490,4680
106272,1735,7493,4680
106272,1736,7514,4680
106272,1737,7511,4680
106273,1734,7490,4680
106273,1735,7493,4680
106273,1736,7499,4680
106273,1737,7511,4680
106274,1734,7490,4680
106274,1735,7493,4680
106274,1736,7499,4680
106274,1737,7511,4680
106275,1734,7490,4680
106275,1735,7493,4680
106275,1736,7499,4680
106275,1737,7511,4680
106276,1734,7490,4680
106276,1735,7493,4680
106276,1736,7502,4680
106276,1737,7511,4680
106277,1734,7490,4680
106277,1735,7493,4680
106277,1736,7502,4680
106277,1737,7511,4680
106278,1734,7490,4680
106278,1735,7493,4680
106278,1736,7498,4680
106278,1737,7511,4680
106279,1734,7490,4680
106279,1735,7493,4680
106279,1736,7499,4680
106279,1737,7512,4680
106280,1734,7490,4680
106280,1735,7493,4680
106280,1736,7499,4680
106280,1737,7513,4680
106281,1734,7490,4680
106281,1735,7493,4680
106281,1736,7499,4680
106281,1737,7513,4680
106282,1734,7490,4680
106282,1735,7493,4680
106282,1736,7499,4680
106282,1737,7513,4680
106283,1734,7490,4680
106283,1735,7494,4680
106283,1736,7499,4680
106283,1737,7506,4680
106284,1734,7490,4680
106284,1735,7494,4680
106284,1736,7499,4680
106284,1737,7506,4680
106285,1734,7490,4680
106285,1735,7494,4680
106285,1736,7499,4680
106285,1737,7507,4680
106286,1734,7490,4680
106286,1735,7494,4680
106286,1736,7499,4680
106286,1737,7507,4680
106287,1734,7490,4680
106287,1735,7494,4680
106287,1736,7499,4680
106287,1737,7507,4680
106288,1734,7490,4680
106288,1735,7494,4680
106288,1736,7499,4680
106288,1737,7507,4680
106289,1734,7490,4680
106289,1735,7494,4680
106289,1736,7499,4680
106289,1737,7507,4680
106290,1734,7490,4680
106290,1735,7494,4680
106290,1736,7499,4680
106290,1737,7507,4680
106291,1734,7490,4680
106291,1735,7494,4680
106291,1736,7499,4680
106291,1737,7508,4680
106292,1734,7490,4680
106292,1735,7494,4680
106292,1736,7499,4680
106292,1737,7508,4680
106293,1734,7490,4680
106293,1735,7494,4680
106293,1736,7499,4680
106293,1737,7508,4680
106294,1734,7490,4680
106294,1735,7494,4680
106294,1736,7499,4680
106294,1737,7508,4680
106295,1734,7490,4680
106295,1735,7494,4680
106295,1736,7499,4680
106295,1737,7508,4680
106296,1734,7490,4680
106296,1735,7494,4680
106296,1736,7499,4680
106296,1737,7508,4680
106297,1734,7490,4680
106297,1735,7494,4680
106297,1736,7499,4680
106297,1737,7509,4680
106298,1734,7490,4680
106298,1735,7494,4680
106298,1736,7499,4680
106298,1737,7509,4680
106299,1734,7490,4680
106299,1735,7494,4680
106299,1736,7499,4680
106299,1737,7509,4680
106300,1734,7490,4680
106300,1735,7494,4680
106300,1736,7499,4680
106300,1737,7509,4680
106301,1734,7490,4680
106301,1735,7494,4680
106301,1736,7499,4680
106301,1737,7509,4680
106302,1734,7490,4680
106302,1735,7494,4680
106302,1736,7499,4680
106302,1737,7509,4680
106303,1734,7490,4680
106303,1735,7494,4680
106303,1736,7499,4680
106303,1737,7510,4680
106304,1734,7490,4680
106304,1735,7494,4680
106304,1736,7499,4680
106304,1737,7510,4680
106305,1734,7490,4680
106305,1735,7494,4680
106305,1736,7499,4680
106305,1737,7510,4680
106306,1734,7490,4680
106306,1735,7494,4680
106306,1736,7499,4680
106306,1737,7510,4680
106307,1734,7490,4680
106307,1735,7494,4680
106307,1736,7499,4680
106307,1737,7510,4680
106308,1734,7490,4680
106308,1735,7494,4680
106308,1736,7499,4680
106308,1737,7510,4680
106309,1734,7490,4680
106309,1735,7494,4680
106309,1736,7499,4680
106309,1737,7511,4680
106310,1734,7490,4680
106310,1735,7494,4680
106310,1736,7499,4680
106310,1737,7511,4680
106311,1734,7490,4680
106311,1735,7494,4680
106311,1736,7499,4680
106311,1737,7511,4680
106312,1734,7490,4680
106312,1735,7494,4680
106312,1736,7499,4680
106312,1737,7512,4680
106313,1734,7490,4680
106313,1735,7494,4680
106313,1736,7499,4680
106313,1737,7512,4680
106314,1734,7490,4680
106314,1735,7494,4680
106314,1736,7499,4680
106314,1737,7512,4680
106315,1734,7490,4680
106315,1735,7494,4680
106315,1736,7499,4680
106315,1737,7512,4680
106316,1734,7490,4680
106316,1735,7494,4680
106316,1736,7499,4680
106316,1737,7513,4680
106317,1734,7490,4680
106317,1735,7494,4680
106317,1736,7499,4680
106317,1737,7513,4680
106318,1734,7490,4680
106318,1735,7495,4680
106318,1736,7500,4680
106318,1737,7506,4680
106319,1734,7490,4680
106319,1735,7495,4680
106319,1736,7500,4680
106319,1737,7506,4680
106320,1734,7490,4680
106320,1735,7495,4680
106320,1736,7500,4680
106320,1737,7507,4680
106321,1734,7490,4680
106321,1735,7495,4680
106321,1736,7500,4680
106321,1737,7507,4680
106322,1734,7490,4680
106322,1735,7495,4680
106322,1736,7500,4680
106322,1737,7508,4680
106323,1734,7490,4680
106323,1735,7495,4680
106323,1736,7500,4680
106323,1737,7508,4680
106324,1734,7490,4680
106324,1735,7495,4680
106324,1736,7500,4680
106324,1737,7509,4680
106325,1734,7490,4680
106325,1735,7495,4680
106325,1736,7500,4680
106325,1737,7509,4680
106326,1734,7490,4680
106326,1735,7495,4680
106326,1736,7500,4680
106326,1737,7510,4680
106327,1734,7490,4680
106327,1735,7495,4680
106327,1736,7500,4680
106327,1737,7510,4680
106328,1734,7490,4680
106328,1735,7495,4680
106328,1736,7500,4680
106328,1737,7511,4680
106329,1734,7490,4680
106329,1735,7495,4680
106329,1736,7500,4680
106329,1737,7511,4680
106330,1734,7490,4680
106330,1735,7496,4680
106330,1736,7501,4680
106330,1737,7506,4680
106331,1734,7490,4680
106331,1735,7496,4680
106331,1736,7501,4680
106331,1737,7506,4680
106332,1734,7490,4680
106332,1735,7496,4680
106332,1736,7501,4680
106332,1737,7506,4680
106333,1734,7490,4680
106333,1735,7496,4680
106333,1736,7501,4680
106333,1737,7507,4680
106334,1734,7490,4680
106334,1735,7496,4680
106334,1736,7501,4680
106334,1737,7507,4680
106335,1734,7490,4680
106335,1735,7496,4680
106335,1736,7501,4680
106335,1737,7507,4680
106336,1734,7490,4680
106336,1735,7496,4680
106336,1736,7501,4680
106336,1737,7508,4680
106337,1734,7490,4680
106337,1735,7496,4680
106337,1736,7501,4680
106337,1737,7508,4680
106338,1734,7490,4680
106338,1735,7496,4680
106338,1736,7501,4680
106338,1737,7508,4680
106339,1734,7490,4680
106339,1735,7496,4680
106339,1736,7501,4680
106339,1737,7509,4680
106340,1734,7490,4680
106340,1735,7496,4680
106340,1736,7501,4680
106340,1737,7509,4680
106341,1734,7490,4680
106341,1735,7496,4680
106341,1736,7501,4680
106341,1737,7509,4680
106342,1734,7490,4680
106342,1735,7496,4680
106342,1736,7501,4680
106342,1737,7510,4680
106343,1734,7490,4680
106343,1735,7496,4680
106343,1736,7501,4680
106343,1737,7510,4680
106344,1734,7490,4680
106344,1735,7496,4680
106344,1736,7501,4680
106344,1737,7510,4680
106345,1734,7490,4680
106345,1735,7496,4680
106345,1736,7501,4680
106345,1737,7511,4680
106346,1734,7490,4680
106346,1735,7496,4680
106346,1736,7501,4680
106346,1737,7511,4680
106347,1734,7490,4680
106347,1735,7496,4680
106347,1736,7501,4680
106347,1737,7511,4680
106348,1734,7490,4680
106348,1735,7496,4680
106348,1736,7501,4680
106348,1737,7512,4680
106349,1734,7490,4680
106349,1735,7496,4680
106349,1736,7501,4680
106349,1737,7512,4680
106350,1734,7490,4680
106350,1735,7496,4680
106350,1736,7501,4680
106350,1737,7512,4680
106351,1734,7490,4680
106351,1735,7496,4680
106351,1736,7501,4680
106351,1737,7513,4680
106352,1734,7490,4680
106352,1735,7496,4680
106352,1736,7501,4680
106352,1737,7513,4680
106353,1734,7490,4680
106353,1735,7496,4680
106353,1736,7501,4680
106353,1737,7513,4680
106354,1734,7490,4680
106354,1735,7497,4680
106354,1736,7503,4680
106354,1737,7515,4680
106355,1734,7490,4680
106355,1735,7494,4680
106355,1736,7499,4680
106355,1737,7515,4680
106356,1734,7490,4680
106356,1735,7495,4680
106356,1736,7500,4680
106356,1737,7515,4680
106357,1734,7490,4680
106357,1735,7496,4680
106357,1736,7501,4680
106357,1737,7515,4680
106358,1734,7490,4680
106358,1735,7497,4680
106358,1736,7503,4680
106358,1737,7515,4680
106559,1734,7490,4680
106559,1735,7516,4680
106559,1736,7518,4680
106559,1737,7515,4680
106560,1734,7490,4680
106560,1735,7517,4680
106560,1736,7519,4680
106560,1737,7505,4680
106561,1734,7490,4680
106561,1735,7517,4680
106561,1736,7519,4680
106561,1737,7505,4680
106564,1734,7490,4680
106564,1735,7517,4680
106564,1736,7519,4680
106564,1737,7506,4680
106565,1734,7490,4680
106565,1735,7517,4680
106565,1736,7519,4680
106565,1737,7506,4680
106566,1734,7490,4680
106566,1735,7517,4680
106566,1736,7519,4680
106566,1737,7507,4680
106567,1734,7490,4680
106567,1735,7517,4680
106567,1736,7519,4680
106567,1737,7507,4680
106568,1734,7490,4680
106568,1735,7517,4680
106568,1736,7519,4680
106568,1737,7508,4680
106569,1734,7490,4680
106569,1735,7517,4680
106569,1736,7519,4680
106569,1737,7508,4680
106570,1734,7490,4680
106570,1735,7517,4680
106570,1736,7519,4680
106570,1737,7509,4680
106571,1734,7490,4680
106571,1735,7517,4680
106571,1736,7519,4680
106571,1737,7509,4680
106572,1734,7490,4680
106572,1735,7517,4680
106572,1736,7519,4680
106572,1737,7510,4680
106573,1734,7490,4680
106573,1735,7517,4680
106573,1736,7519,4680
106573,1737,7510,4680
106574,1734,7490,4680
106574,1735,7517,4680
106574,1736,7519,4680
106574,1737,7511,4680
106575,1734,7490,4680
106575,1735,7517,4680
106575,1736,7519,4680
106575,1737,7511,4680
106576,1734,7490,4680
106576,1735,7517,4680
106576,1736,7521,4680
106576,1737,7515,4680
106577,1734,7490,4680
106577,1735,7517,4680
106577,1736,7521,4680
106577,1737,7515,4680
106578,1734,7490,4680
106578,1735,7517,4680
106578,1736,7521,4680
106578,1737,7515,4680
106579,1734,7490,4680
106579,1735,7517,4680
106579,1736,7521,4680
106579,1737,7515,4680
106580,1734,7490,4680
106580,1735,7517,4680
106580,1736,7522,4680
106580,1737,7515,4680
106581,1734,7490,4680
106581,1735,7517,4680
106581,1736,7522,4680
106581,1737,7515,4680
106582,1734,7490,4680
106582,1735,7517,4680
106582,1736,7522,4680
106582,1737,7515,4680
106583,1734,7490,4680
106583,1735,7517,4680
106583,1736,7522,4680
106583,1737,7515,4680
106584,1734,7490,4680
106584,1735,7517,4680
106584,1736,7522,4680
106584,1737,7515,4680
106585,1734,7490,4680
106585,1735,7517,4680
106585,1736,7522,4680
106585,1737,7515,4680
106586,1734,7490,4680
106586,1735,7517,4680
106586,1736,7522,4680
106586,1737,7515,4680
106587,1734,7490,4680
106587,1735,7517,4680
106587,1736,7522,4680
106587,1737,7515,4680
106588,1734,7490,4680
106588,1735,7517,4680
106588,1736,7522,4680
106588,1737,7515,4680
106589,1734,7490,4680
106589,1735,7517,4680
106589,1736,7522,4680
106589,1737,7515,4680
106590,1734,7490,4680
106590,1735,7517,4680
106590,1736,7522,4680
106590,1737,7515,4680
106591,1734,7490,4680
106591,1735,7517,4680
106591,1736,7522,4680
106591,1737,7515,4680
106592,1734,7490,4680
106592,1735,7517,4680
106592,1736,7518,4680
106592,1737,7515,4680
106767,1734,7490,4680
106767,1735,7517,4680
106767,1736,7519,4680
106767,1737,7506,4680
106768,1734,7490,4680
106768,1735,7517,4680
106768,1736,7519,4680
106768,1737,7506,4680
106769,1734,7490,4680
106769,1735,7517,4680
106769,1736,7519,4680
106769,1737,7507,4680
106770,1734,7490,4680
106770,1735,7517,4680
106770,1736,7519,4680
106770,1737,7507,4680
106771,1734,7490,4680
106771,1735,7517,4680
106771,1736,7519,4680
106771,1737,7508,4680
106772,1734,7490,4680
106772,1735,7517,4680
106772,1736,7519,4680
106772,1737,7508,4680
106773,1734,7490,4680
106773,1735,7517,4680
106773,1736,7519,4680
106773,1737,7509,4680
106774,1734,7490,4680
106774,1735,7517,4680
106774,1736,7519,4680
106774,1737,7509,4680
106775,1734,7490,4680
106775,1735,7517,4680
106775,1736,7519,4680
106775,1737,7510,4680
106776,1734,7490,4680
106776,1735,7517,4680
106776,1736,7519,4680
106776,1737,7510,4680
106777,1734,7490,4680
106777,1735,7517,4680
106777,1736,7519,4680
106777,1737,7511,4680
106778,1734,7490,4680
106778,1735,7517,4680
106778,1736,7519,4680
106778,1737,7511,4680
106779,1734,7490,4680
106779,1735,7517,4680
106779,1736,7520,4680
106779,1737,7506,4680
106780,1734,7490,4680
106780,1735,7517,4680
106780,1736,7520,4680
106780,1737,7506,4680
106781,1734,7490,4680
106781,1735,7517,4680
106781,1736,7520,4680
106781,1737,7507,4680
106782,1734,7490,4680
106782,1735,7517,4680
106782,1736,7520,4680
106782,1737,7507,4680
106783,1734,7490,4680
106783,1735,7517,4680
106783,1736,7520,4680
106783,1737,7508,4680
106784,1734,7490,4680
106784,1735,7517,4680
106784,1736,7520,4680
106784,1737,7508,4680
106785,1734,7490,4680
106785,1735,7517,4680
106785,1736,7520,4680
106785,1737,7509,4680
106786,1734,7490,4680
106786,1735,7517,4680
106786,1736,7520,4680
106786,1737,7509,4680
106787,1734,7490,4680
106787,1735,7517,4680
106787,1736,7520,4680
106787,1737,7510,4680
106788,1734,7490,4680
106788,1735,7517,4680
106788,1736,7520,4680
106788,1737,7510,4680
106789,1734,7490,4680
106789,1735,7517,4680
106789,1736,7520,4680
106789,1737,7511,4680
106790,1734,7490,4680
106790,1735,7517,4680
106790,1736,7520,4680
106790,1737,7511,4680
106791,1734,7490,4680
106791,1735,7517,4680
106791,1736,7521,4680
106791,1737,7515,4680
106792,1734,7490,4680
106792,1735,7517,4680
106792,1736,7521,4680
106792,1737,7515,4680
106793,1734,7490,4680
106793,1735,7517,4680
106793,1736,7521,4680
106793,1737,7515,4680
106794,1734,7490,4680
106794,1735,7517,4680
106794,1736,7521,4680
106794,1737,7515,4680
