rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
10552,9977,6690,,,,,vai9WS2H+UKq4+31aEcffA,100,,,,,excavator,E01,,0.8,QT_Hour,,Y,Y,Y,N,30,,RT_Equip,,,,,
10553,9977,6690,,,,,vfufwoihwEysw61Szptm8A,200,,,,,lodr,E02,,0.8,QT_Hour,,Y,Y,Y,N,30,,RT_Equip,,,,,
10554,9977,6690,,,,,qx+Uhhibo0axq1gtPLUY5g,300,,,,,truck,E03,,0.8,QT_Hour,,Y,Y,Y,N,30,,RT_Equip,,,,,
10555,9977,6690,,,,,3zlGhA60ckeSQmdlsPZF+Q,400,,,,,compactor,E04,,0.8,QT_Hour,,Y,Y,Y,N,30,,RT_Equip,,,,,
10557,9977,6690,,,,,2HYvxhf/2Eu9MDBbQ5E5gQ,600,,,,,CARPENTER,L01,,0.8,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10558,9977,6690,,,,,ZpJ8VEUNgky6hB8FJeijlg,700,,,,,STELL FIXER,L02,,0.8,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10559,9977,6690,,,,,AS9IUiwLv0udi5D90FMpXA,1014,,,,,STEEL,M01,,1,QT_Hour,0,Y,Y,Y,N,30,104,RT_Mat,,,,,
10560,9977,6690,,,,,Yzfjvvl6a0qBDVM1NxGlXQ,1100,,,,,CONCRETE,M02,,1,QT_Hour,,Y,Y,N,N,30,213,RT_Mat,,,,,
10562,9977,6690,,,,,C/0uQdT7Z0yG1HMUFRYZ2A,900,,,,,LABOUR,L04,,0.8,QT_Hour,0,Y,Y,Y,N,30,,RT_Labor,,,,,
10563,9977,6690,,,,,71TL71bPZkWsT+SK6xKmIQ,1201,,,,,BRICK,M04,,1,QT_Hour,0,Y,Y,Y,N,30,215,RT_Mat,,,,,
10564,9977,6690,,,,,ydkBrEe2ekmy0xBQMNMAuw,800,,,,,MAISON,L03,,0.8,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10565,9977,6690,,,,,W0/385KlsEm36vV6Kf0yJw,1301,,,,,ISOLATION,M05,,1,QT_Hour,,Y,Y,Y,N,30,217,RT_Mat,,,,,
10566,9977,6690,,,,,e9nRPJEkxEi9Z8OcPYolrA,1000,,,,,REPLACEMENT,L05,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10567,9977,6690,,,,,45gos3GvZU2yjcozTtbUNg,1401,,,,,WATER,M06,,1,QT_Hour,,Y,Y,Y,N,30,213,RT_Mat,,,,,
10568,9977,6690,,,,,lV8TyM1w+0+69PeVPaMjwA,1402,,,,,CEMENT,M07,,1,QT_Hour,,Y,Y,Y,N,30,104,RT_Mat,,,,,
10569,9977,6690,,,,,5cODYQANiUm4hRGvB5J0Ng,1501,,,,,INSOMAT,M08,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10570,9977,6690,,,,,ViBVrlbkSkSodCKHZFzYhQ,1601,,,,,SAND,M09,,0.8,QT_Hour,,Y,Y,Y,N,30,213,RT_Mat,,,,,
10571,9977,6690,,,,,aM8KeynAl0W5Cq9vkYf+AA,1701,,,,,WOODEN FRAME,M10,,1,QT_Hour,,Y,Y,Y,N,30,218,RT_Mat,,,,,
10572,9977,6690,,,,,0G7OAxBozECv9Knglh6IFg,1001,,,,,PLASTER,L06,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,"<HTML><HEAD><META NAME=""""GENERATOR"""" Content=""""Microsoft DHTML Editing Control""""><TITLE></TITLE></HEAD><BODY><P>BASEMENT FLOOR 8LE</P><P>CELLING 10LE</P><P>GROUND FLOOR 9 LE</P><P>CELLING 11</P><P>&nbsp;</P></BODY></HTML>",,,
10573,9977,6690,,,,,HnqxI8x4nUKSEVLCVjh03Q,1002,,,,,PACKING LABOUR,L07,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10574,9977,6690,,,,,9p16d8ypJEyPMExewQa7kg,1003,,,,,CERMIC MAISON,L08,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10575,9977,6690,,,,,+w+CgQSdbEaHqoyF2qdMYQ,1801,,,,,CERMIC,M11,,1,QT_Hour,,Y,Y,N,N,30,216,RT_Mat,,,,,
10576,9977,6690,,,,,BcMkqQuTNUqNYSa7V58ksA,1901,,,,,WHITE CEMENT,M12,,1,QT_Hour,,Y,Y,Y,N,30,104,RT_Mat,,,,,
10577,9977,6690,,,,,ik2Ly9BAFEKHnI83g6p4nw,1004,,,,,PAINTER,L09,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10578,9977,6690,,,,,U/9CrLVVk0qRsbWKHeenaw,2001,,,,,PAINT PACKAGE,M13,,1,QT_Hour,,Y,Y,Y,N,30,218,RT_Mat,,,,,
10579,9977,6690,,,,,k1/Sb6FZ0EabuLSHPyiGCA,1005,,,,,FALSE CELLING,L10,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10580,9977,6690,,,,,CXRseweaNkCWJRBlgXtVSA,1006,,,,,STEEL MAKER,L11,,1,QT_Hour,0,Y,Y,Y,N,30,217,RT_Mat,,,,,
10581,9977,6690,,,,,1OSNSqsDEkC7UXxcMbRhzA,2101,,,,,RED TILE,M14,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10582,9977,6690,,,,,YbDBtaoMEkuxNVs92eRopg,1007,,,,,TILE MAISON,L12,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10583,9977,6690,,,,,9CeqbTOGT0O2dtQEER2ltg,1008,,,,,ISOLATION LABOUR,L13,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10584,9977,6690,,,,,XdI8WPyFSEWvR2hb3f/T2A,2201,,,,,THERMAL ISOLATION,M15,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10585,9977,6690,,,,,fBLo/mn8LkO4yWJjUTUVeg,2301,,,,,WINDOWS&DOORS,M16,,1,QT_Hour,,Y,Y,Y,N,30,218,RT_Mat,,,,,
10586,9977,6690,,,,,gUVV0kkyGkOLmEXIsV6OyQ,2401,,,,,WOODEN FLOOR,M17,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10587,9977,6690,,,,,zfTX5hgEy0ahVey+5C+EUw,2501,,,,,MARBLE,M18,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10588,9977,6690,,,,,ajoYfPHA5U6gWlaY7NeZ5Q,1009,,,,,FINISHING LABOUR,L14,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10589,9977,6690,,,,,oVyiIWnoK06uuamTipgryA,2601,,,,,ALMNIUM,M19,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10590,9977,6690,,,,,FB2PLUz+GEO+qde9qXcgUA,2701,,,,,CEMENT TILE,M20,,1,QT_Hour,,Y,Y,Y,N,30,216,RT_Mat,,,,,
10592,9977,6690,,,,,d3JVAtM/TE2D1lh50T0KNQ,2801,,,,,GRAVITO,M21,,1,QT_Hour,,Y,Y,Y,N,30,104,RT_Mat,,,,,
10593,9977,6690,,,,,j7wzkpmN/0WdA0cRaY+rtw,1010,,,,,STAIRS,L15,,1,QT_Hour,0,Y,Y,Y,N,30,218,RT_Mat,,,,,
10594,9977,6690,,,,,DwUJeRi7GUSIGtFYcMUhFA,1011,,,,,FURNTURE,L16,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10595,9977,6690,,,,,9qx+TMWG50KBNlem3jR9Aw,2901,,,,,SAINTARY material,M22,,1,QT_Hour,,Y,Y,N,N,30,218,RT_Mat,,,,,
10596,9977,6690,,,,,RrbXJORCNUmsSDb5ZnKEwA,1012,,,,,PLUMPER,L17,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10597,9977,6690,,,,,ZrpkYqFnu0WmrgK/l510Gg,3001,,,,,BOX & PIPE,M23,,1,QT_Hour,0,Y,Y,N,N,30,218,RT_Mat,,,,,
10598,9977,6690,,,,,pMRppmqeb0ajKGsyMl4Hsw,3101,,,,,ELEC WIRE,M24,,1,QT_Hour,,Y,Y,N,N,30,,RT_Mat,,,,,
10599,9977,6690,,,,,Upz8kvK8lUW0TNFMx3/ZTw,3201,,,,,FINISHING ELEC,M25,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Mat,,,,,
10600,9977,6690,,,,,AP1DrfeXy0aPB00LU9D5Ng,1013,,,,,ELECTRICAL,L18,,1,QT_Hour,,Y,Y,N,N,30,,RT_Labor,,,,,
10602,9977,6690,,,,,zmpm7Z2lAkSAS+UeK4g5Og,3401,,,,,CARPENTER,LB2,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10603,9977,6690,,,,,9oLeQveJsE23B3tRqdh9zw,3301,,,,,LABOUR,LB1,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10604,9977,6690,,,,,2qXZNEfnike9SfNsFlMJlw,3501,,,,,STEEL FIXER,LB3,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10605,9977,6690,,,,,62/vk9ctwk2mb88etHZ2cA,3601,,,,,MASION,LB4,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10606,9977,6690,,,,,RCvZuBBrDk2fQhOoerDajw,3701,,,,,ISOLATION,LB5,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10607,9977,6690,,,,,EoK+w87wUUOPItj1SvzLow,3801,,,,,PLASTER,LB6,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10608,9977,6690,,,,,Pa1STf+7pkuvkPGuFrObWg,3901,,,,,TILE MASION,LB7,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10609,9977,6690,,,,,LRaFH1TvCUaqskj6j8dGWw,4001,,,,,FALSE CEILLING,LB8,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10610,9977,6690,,,,,y9n+oWhCnkydqy7tJis7KA,4101,,,,,PAINTER,LB9,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10611,9977,6690,,,,,8u+wSs2sY0+084DUv4/xmA,4201,,,,,PLUMPER,LB10,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10612,9977,6690,,,,,m9CU+MdS5028RynJl3R3Mg,4301,,,,,ELECTRCIAN,LB11,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
10614,9977,6690,,,,,jyySdJ0rL064Boja2DFn/A,4401,,,,,MARBLE MAISON,LB12,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
9977,,6690,,,,,FIOvg+seKUyCbxDtXDryJQ,0,,,,,TEST PROJECT,TP,,1,QT_Hour,,Y,Y,Y,N,30,,RT_Labor,,,,,
